sequencialPrecedente,tipoPrecedente,numeroPrecedente,Processo,numeroRegistro,ministroRelator,leadingCase,dataAfetacao,dataPublicacaoAfetacao,observacaoAfetacao,NOME_MINISTRO_AFETACAO,dataVistaMPF,dataJulgamento,dataPbulicacaoAcordao,processoSTF,dataRemessaSTF,situacaoProcessoSTF,tribunalOrigem,siglaTribunalOrigem,siglaRegiaoOrigem,origemUF,tipoJusticaOrigem,quantidadeProcessosSuspensoNaOrigem,dataPublicacaoEmbargosDeDeclaração,Desafetação,Embargos de Divergência
547,Tema,290,REsp 1141990,200900998090,LUIZ FUX,S,2009-10-19,2009-10-19,Afetação à Corte Especial,LUIZ FUX,2009-10-20,2010-11-10,2010-11-19,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,2018-11-21,,
547,Tema,290,REsp 1141990,200900998090,LUIZ FUX,S,2010-04-26,,Decisão do Ministro Relator determinando remessa dos autos para Primeira Seção,LUIZ FUX,2009-10-20,2010-11-10,2010-11-19,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,2018-11-21,,
548,Tema,291,REsp 1143677,200901075140,LUIZ FUX,S,2009-10-16,2009-10-16,,LUIZ FUX,2009-10-22,2009-12-02,2010-02-04,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,"2010-09-02, 2013-04-22",,
548,Tema,291,REsp 1143677,200901075140,LUIZ FUX,S,2009-10-16,2009-10-16,,LUIZ FUX,2009-10-22,2009-12-02,2010-02-04,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,"2010-09-02, 2013-04-22",,
548,Tema,291,REsp 1665599,201700869576,NAPOLEÃO NUNES MAIA FILHO,N,2019-04-02,2019-04-02,,NAPOLEÃO NUNES MAIA FILHO,,2019-03-19,2019-04-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,"2020-05-25, 2023-10-09, 2022-12-02",,
548,Tema,291,REsp 1665599,201700869576,NAPOLEÃO NUNES MAIA FILHO,N,2019-04-02,2019-04-02,,NAPOLEÃO NUNES MAIA FILHO,,2019-03-19,2019-04-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,"2020-05-25, 2023-10-09, 2022-12-02",,
549,Tema,292,REsp 1143677,200901075140,LUIZ FUX,S,2009-10-16,2009-10-16,,LUIZ FUX,2009-10-22,2009-12-02,2010-02-04,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,"2010-09-02, 2013-04-22",,
549,Tema,292,REsp 1143677,200901075140,LUIZ FUX,S,2009-10-16,2009-10-16,,LUIZ FUX,2009-10-22,2009-12-02,2010-02-04,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,"2010-09-02, 2013-04-22",,
550,Tema,293,REsp 976836,200701873706,LUIZ FUX,S,2009-10-23,2009-10-23,,LUIZ FUX,2009-10-21,2010-08-25,2010-10-05,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,2010-11-26,,
550,Tema,293,REsp 1008533,200702753166,LUIZ FUX,N,2009-09-25,2009-09-25,,LUIZ FUX,,,,,,,Tribunal de Justiça do Estado do Rio de Janeiro,TJRJ      ,SE,RJ,Justiça Estadual,0,,"2009-11-09 : Afetação cancelada porque substituído pelo REsp 976836/RS, de maior abrangência.",
551,Tema,294,REsp 1008343,200702750399,LUIZ FUX,S,2009-10-27,2009-10-27,,LUIZ FUX,2009-10-27,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,2010-09-01,,
552,Tema,295,REsp 1133815,200901284951,CASTRO MEIRA,S,2009-10-27,2009-10-27,,CASTRO MEIRA,2009-10-27,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,2010-04-16,,
