movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Parcial,12610,12526,,Conciliação parcial,Sim,CPC,"515, II e III",,"Movimento para realizar o registro de conciliação parcialmente frutífera, ou seja, quando as partes acordarem em relação a uma parte da demanda. Não se confunde com o movimento de sentença homologatória, realizado posteriormente para dar valor de título judicial ao acordo.",2019-09-04 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12526 > 12610,Serventuário > Auxiliar da Justiça > Mediador > Conciliação > Parcial
Mediação,12527,12525,,Atos de mediação,Sim,,,,,2019-07-09 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12527,Serventuário > Auxiliar da Justiça > Mediador > Mediação
Frutífera,12540,12527,,Mediação frutífera,Sim,CPC,"515, II",,"Movimento para realizar o registro de mediação frutífera, ou seja, quando as partes acordarem em relação à totalidade da demanda. Não deve ser confundida com a sentença homologatória de acordo, que será proferida posteriormente para dar valor ao acordo de título executivo judicial.",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12527 > 12540,Serventuário > Auxiliar da Justiça > Mediador > Mediação > Frutífera
Infrutífera,12539,12527,,Mediação infrutífera,Sim,CPC,"335, I",,"Movimento para realizar o registro de mediação infrutífera, ou seja, quando as partes não acordarem.",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12527 > 12539,Serventuário > Auxiliar da Justiça > Mediador > Mediação > Infrutífera
Parcial,12611,12527,,Mediação parcial,Sim,CPC,"515, II e III",,"Movimento para realizar o registro de mediação parcialmente frutífera, ou seja, quando as partes acordarem em relação a uma parte da demanda. Não se confunde com o movimento de sentença homologatória, realizado posteriormente para dar valor de título judicial ao acordo.",2019-09-04 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12527 > 12611,Serventuário > Auxiliar da Justiça > Mediador > Mediação > Parcial
Contador,15,14,,,Não,,,,,2008-09-30 15:52:47,,,,1,M,78_Tabela_Movimentos_STJ.sql,14 > 15,Serventuário > Contador
Cálculo,16,15,,realizado cálculo de,Sim,,,,,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 16,Serventuário > Contador > Cálculo
Atualização de conta,480,16,,Conta Atualizada,Sim,,,,Registra a ação do Contador auxiliar do Juízo quando apresenta atualização de qualquer tipo de conta já constante dos autos.,2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 16 > 480,Serventuário > Contador > Cálculo > Atualização de conta
Cálculo de Liquidação,478,16,,Realizado Cálculo de Liquidação,Sim,CPC e CLT,475-B,,Registra a ação do Contador auxiliar do Juízo quando apresenta o cálculo de liquidação dos créditos a serem executados. Pode incluir nos cálculos o cálculo de custas.,2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 16 > 478,Serventuário > Contador > Cálculo > Cálculo de Liquidação
Custas,479,16,,Realizado cálculo de custas,Sim,,,,"Registra a ação do Contador auxiliar do Juízo quando apresenta o cálculo de custas a serem providas pelas partes, em qualquer momento do processo. Inclui cálculos para preparo, porte de remessa e retorno, condução, verba indenizatória de Oficial de Justiça, etc.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 16 > 479,Serventuário > Contador > Cálculo > Custas
