movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Voto,14092,1,,,Sim,,,,Votos proferidos por magostrados em processos colegiados,2020-11-23 00:00:00,,,,1,M,78_Tabela_Movimentos_STJ.sql,1 > 14092,1 > Voto
Outros Votos,14095,14092,,Outros Votos Proferidos,Sim,,,,"Votos proferidos por magistrados em processos colegiados, exceto votos de relatores e votos divergente vencedores.",2020-11-23 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 14092 > 14095,1 > Voto > Outros Votos
Voto Divergente Vencedor,14094,14092,,Voto Divergente Vencedor Proferido,Sim,,,,Votos divergentes vencendores proferidos por magistrados em processos colegiados,2020-11-23 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 14092 > 14094,1 > Voto > Voto Divergente Vencedor
Voto do Relator,14093,14092,,Voto do relator proferido,Sim,,,,Votos de relatores proferidos por magistrados em processos colegiados.,2020-11-23 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 14092 > 14093,1 > Voto > Voto do Relator
Arquivista,865,14,,Atos praticados pelo arquivista,Sim,,,,,2008-09-30 15:52:47,,,,1,M,78_Tabela_Movimentos_STJ.sql,14 > 865,Serventuário > Arquivista
Autos Eliminados,870,865,,Autos Eliminados,Sim,,,,"Registra a eliminação de todos os documentos que formam os autos, sejam em papel ou digitais.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 870,Serventuário > Arquivista > Autos Eliminados
Entrega definitiva dos autos,869,865,"Identificador - ""interessado"";",Entrega Definitiva dos Autos a #{nome_da_parte},Sim,,,,Para a hipótese em que os autos seriam eliminados e a parte fez uso da faculdade de permanecer com o processo definitivamente.,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 869,Serventuário > Arquivista > Entrega definitiva dos autos
Guarda Intermediária,866,865,,Arquivo em Guarda Intermediária,Sim,,,,"Guarda intermediária pelo arquivo do Juízo. Processo arquivado definitivamente, em geral após Baixa Definitiva, e que poderá ser eliminado no futuro.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 866,Serventuário > Arquivista > Guarda Intermediária
Guarda Permanente,867,865,,Arquivo em Guarda permanente,Sim,,,,Guarda Definitiva pelo arquivo do Juízo. Processo arquivado definitivamente e que não poderá ser eliminado (ex. processos de guarda histórica).,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 867,Serventuário > Arquivista > Guarda Permanente
Recebimento,977,865,,Recebimento pelo Arquivo,Sim,,,,Registra o momento em que os autos passam à responsabilidade do Arquivo.,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 977,Serventuário > Arquivista > Recebimento
Remessa,978,865,Identificador - Destino;,Remessa do Arquivo para #{destino},Sim,,,,"Registra o momento em que os autos deixam a responsabilidade do Arquivo, remetidos a outros órgãos, internos ou externos..",2008-09-30 15:52:47,2022-09-21 17:13:02,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 865 > 978,Serventuário > Arquivista > Remessa
Auxiliar da Justiça,12522,14,,Atos de Auxiliar da Justiça,Sim,,,,,2019-07-09 00:00:00,2022-09-22 11:40:04,,,1,M,78_Tabela_Movimentos_STJ.sql,14 > 12522,Serventuário > Auxiliar da Justiça
Conciliador,12523,12522,,Atos de Conciliador,Sim,,,,,2019-07-09 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12523,Serventuário > Auxiliar da Justiça > Conciliador
Conciliação,12528,12523,,Atos de conciliação,Sim,,,,,2019-07-09 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12523 > 12528,Serventuário > Auxiliar da Justiça > Conciliador > Conciliação
Frutífera,12531,12528,,Conciliação frutífera,Sim,,,,"Aplica-se aos casos em que o conciliador obteve êxito em concluir a conciliação. O movimento deve ser utilizado na Justiça do Trabalho, onde a conciliação é realizada não por auxiliares da justiça, mas exclusivamente por magistradas/os ou servidoras/es, ativas/os ou inativas/os. (Resolução CSJT n. 288/2021, art. 3º, XII e XIII).",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12523 > 12528 > 12531,Serventuário > Auxiliar da Justiça > Conciliador > Conciliação > Frutífera
Infrutífera,12532,12528,,Conciliação infrutífera,Sim,,,,"Aplica-se aos casos em que o conciliador não obteve êxito em concluir a conciliação. O movimento deve ser utilizado na Justiça do Trabalho, onde a conciliação é realizada não por auxiliares da justiça, mas exclusivamente por magistradas/os ou servidoras/es, ativas/os ou inativas/os. (Resolução CSJT n. 288/2021, art. 3º, XII e XIII).",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12523 > 12528 > 12532,Serventuário > Auxiliar da Justiça > Conciliador > Conciliação > Infrutífera
Parcial,12608,12528,,Conciliação parcial,Sim,,,,"Aplica-se aos casos em que a conciliação obtida pelo conciliador foi parcial. O movimento deve ser utilizado na Justiça do Trabalho, onde a conciliação é realizada não por auxiliares da justiça, mas exclusivamente por magistradas/os ou servidoras/es, ativas/os ou inativas/os. (Resolução CSJT n. 288/2021, art. 3º, XII e XIII).",2019-09-04 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12523 > 12528 > 12608,Serventuário > Auxiliar da Justiça > Conciliador > Conciliação > Parcial
Facilitador,15711,12522,,Ato de facilitador,Sim,Resolução CNJ 225/2016,1º,,"Movimento para organizar os movimento de solução de procedimento de Justiça Restaurativa, comumente atribuído a facilitador, mas que pode ser registrado por qualquer profissional que tenha conduzido o procedimento restaurativo.",2026-01-29 14:11:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 15711,Serventuário > Auxiliar da Justiça > Facilitador
Realização Frutífera de Procedimentos Restaurativos,15712,15711,,Realizado o procedimento restaurativo de forma frutífera,Sim,Resolução CNJ 225/2016,1º,,"A finalidade deste movimento é a qualificação do resultado da Sessão Restaurativa. Registro do resultado do caso após o último Encontro, frutífero com acordo e infrutífero sem acordo restaurativo, e no Pós-Encontro, frutífero com acordo cumprido ou repactuado e infrutífero com acordo não cumprido.",2026-01-29 14:19:01,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 15711 > 15712,Serventuário > Auxiliar da Justiça > Facilitador > Realização Frutífera de Procedimentos Restaurativos
Realização Infrutífera de Procedimentos Restaurativos,15713,15711,,Realizado o procedimento restaurativo de forma infrutífera,Sim,Resolução CNJ 225/2016,1º,,"A finalidade deste movimento é a qualificação do resultado da Sessão Restaurativa. Registro do resultado do caso após o último Encontro, frutífero com acordo e infrutífero sem acordo restaurativo, e no Pós-Encontro, frutífero com acordo cumprido ou repactuado e infrutífero com acordo não cumprido",2026-01-29 14:23:04,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 15711 > 15713,Serventuário > Auxiliar da Justiça > Facilitador > Realização Infrutífera de Procedimentos Restaurativos
Mediador,12525,12522,,Atos de mediador,Sim,,,,Aplica-se aos casos em que a transação homologada efetivamente põe fim à demanda.,2019-07-09 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525,Serventuário > Auxiliar da Justiça > Mediador
Conciliação,12526,12525,,Atos de conciliação,Sim,,,,,2019-07-09 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12526,Serventuário > Auxiliar da Justiça > Mediador > Conciliação
Frutífera,12535,12526,,Conciliação frutífera,Sim,CPC,"515, III",,"Movimento para realizar o registro de conciliação frutífera, ou seja, quando as partes acordarem em relação à totalidade da demanda. Não se confunde com o movimento de sentença homologatória, realizado posteriormente para dar valor de título judicial ao acordo.",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12526 > 12535,Serventuário > Auxiliar da Justiça > Mediador > Conciliação > Frutífera
Infrutífera,12536,12526,,Conciliação infrutífera,Sim,CPC,"335, II",,"Movimento para realizar o registro de conciliação infrutífera, ou seja, quando as partes não acordarem.",2019-07-09 00:00:00,,,,4,M,78_Tabela_Movimentos_STJ.sql,14 > 12522 > 12525 > 12526 > 12536,Serventuário > Auxiliar da Justiça > Mediador > Conciliação > Infrutífera
